business_type,business_name,business_utility,super_name
חשבונות,LUXEMBOURG   ~ALIEXPRESS,טלויזיה,אחר
חשבונות,LUXEMBOURG   ~ALIEXPRESS,טלויזיה,אחר
חשבונות,"מי רמת גן- הו""ק",מים,אחר
חשבונות,"מי רמת גן- הו""ק",מים,אחר
חשבונות,STOCKHOLM    ~SPOTIFYIL,ספוטיפיי,אחר
חשבונות,פועלים- דמי כרטיס,אחר,אחר
חשבונות,פועלים- דמי כרטיס,אחר,אחר
חשבונות,פועלים- דמי כרטיס,אחר,אחר
מוניות,GETT,אחר,אחר
מוניות,GETT,אחר,אחר
מוניות,GETT,אחר,אחר
מוניות,GETT,אחר,אחר
מוניות,GETT,אחר,אחר
מוניות,GETT,אחר,אחר
סופר,אי אם פי אם סניף החש,אחר,אמפמ
סופר,אי.אם.פי.אם גבעתיים,אחר,אמפמ
סופר,טיב טעם רשתות סירקין,אחר,טיבטעם
סופר,מקור הפרי והירק,אחר,ירקות
סופר,מקור הפרי והירק,אחר,ירקות
סופר,מקור הפרי והירק,אחר,ירקות
סופר,פרימדונה,אחר,ירקות
סופר,פרימדונה,אחר,ירקות
סופר,שפע פירות וירקות,אחר,ירקות
סופר,בית לחם,אחר,מאפייה
סופר,"הבייקרי של תמי בע""מ",אחר,מאפייה
סופר,המאפיה אלנבי,אחר,מאפייה
סופר,המאפיה אלנבי,אחר,מאפייה
סופר,המאפיה אלנבי,אחר,מאפייה
סופר,המאפיה אלנבי,אחר,מאפייה
סופר,לחם תושיה-נורית סטול,אחר,מאפייה
סופר,מאפיית הכהנים,אחר,מאפייה
סופר,מאפיית פארין,אחר,מאפייה
סופר,רולדין דיזנגוף,אחר,מאפייה
סופר,CARREFOUR MARKET אוא,אחר,סופר אחר
סופר,אלמה מרקט רמת גן,אחר,סופר אחר
סופר,"טבע ספורט קסטל בע""מ",אחר,סופר אחר
סופר,כל בו עלית,אחר,סופר אחר
סופר,מכולת האחים,אחר,סופר אחר
סופר,נון סטופ מרקט,אחר,סופר אחר
סופר,נון סטופ מרקט,אחר,סופר אחר
סופר,ניצת הדובדבן רמת גן,אחר,סופר אחר
סופר,סיטי מרקט קריניצי,אחר,סופר אחר
סופר,"רד אביב בע""מ",אחר,סופר אחר
סופר,שופרסל שלי גבעתיים,אחר,סופר אחר
סופר,שופרסל שלי גבעתיים,אחר,סופר אחר
סופר,שופרסל שלי גבעתיים,אחר,סופר אחר
סופר,שופרסל שלי גבעתיים,אחר,סופר אחר
סופר,77 TO סופרמרקט,אחר,סופר אחר
סופר,סופר פלוס,אחר,סופר פלוס
סופר,סופר פלוס,אחר,סופר פלוס
סופר,סופר פלוס,אחר,סופר פלוס
סופר,סופר פלוס,אחר,סופר פלוס
סופר,סופר פלוס,אחר,סופר פלוס
סופר,סופר פלוס,אחר,סופר פלוס
סופר,סופר פלוס,אחר,סופר פלוס
סופר,סופר פלוס,אחר,סופר פלוס
סופר,סופר פלוס,אחר,סופר פלוס
סופר,סופר פלוס,אחר,סופר פלוס
סופר,סופר פלוס,אחר,סופר פלוס
סופר,אטליז גבעתיים,אחר,קצבדגים
סופר,אטליז פרימדונה,אחר,קצבדגים
סופר,סטאר פיש חנות דגים ט,אחר,קצבדגים
סופר,"PM:AM ארלוזורוב ר""ג",אחר,אמפמ
סופר,"PM:AM ארלוזורוב ר""ג",אחר,אמפמ
סופר,"PM:AM ארלוזורוב ר""ג",אחר,אמפמ
סופר,"PM:AM ארלוזורוב ר""ג",אחר,אמפמ
סופר,"PM:AM ארלוזורוב ר""ג",אחר,אמפמ
סופר,"PM:AM ארלוזורוב ר""ג",אחר,אמפמ
פארם,IHERB.COM    ~IHERB IHERB.COM,אחר,אחר
פארם,בי דראגסטורס בלוך גב,אחר,אחר
פארם,בי פרש קניון גבעתיים,אחר,אחר
פארם,דרגסטור פוד דיזנגוף,אחר,אחר
פארם,סופר פארם אורדע רמת,אחר,אחר
פארם,סופר פארם בורכוב גבע,אחר,אחר
פארם,סופר פארם בורכוב גבע,אחר,אחר
פארם,סופר פארם בסר סיטי פ,אחר,אחר
פארם,סופר פארם בסר סיטי פ,אחר,אחר
פארם,סופר פארם כופר הישוב,אחר,אחר
פארם,סופר פארם קניון ביאל,אחר,אחר
פארם,סופרפארם ארלוזורוב 0,אחר,אחר
קיוסק,מינימרקט לידיה,אחר,אחר
קיוסק,מינימרקט עד חצות,אחר,אחר
קיוסק,קליית חממה,אחר,אחר
קיוסק,עד חצות אמנון מלייב,אחר,אחר
קיוסק,מקום בלב שלנו,אחר,אחר
קיוסק,מקום בלב שלנו,אחר,אחר
קיוסק,מקום בלב שלנו,אחר,אחר
קיוסק,מקום בלב שלנו,אחר,אחר
חשבונות,NETFLIX.COM,טלויזיה,אחר
אחר,TOMMY ANNIKA,אחר,אחר
אחר,אייס/ אוטודיפו- אונל,אחר,אחר
אחר,אינטימה אתר-גמא,אחר,אחר
חשבונות,DISNEY PLUS,טלויזיה,אחר
בילוי,KALAMATA,אחר,אחר
אחר,ורדינון דיזנגוף-גמא,אחר,אחר
