,business_name,response_text
10,אלקטרה חנויות נוחות,"{'displayName': 'Electra Ltd.', 'primaryType': 'corporate_office', 'biz_reviews': ['Worst customer support possible. Never seen anything like this. Do yourself a favor and don’t ever order anything from Electra, because once it breaks or stops working you’re on your own.', 'I purchased an Electra brand washing machine a year and two months ago. For half a year there have been holes on clothes, I sprayed, changed softening powders and it turns out it\'s the machine!!!! It ripped through and destroyed our clothes of great value. I called Electra\'s customer service and told her that some of the clothes are made of sand and clothes are very expensive and what can be done. ""I have no way to help you ma\'am"" Terrible customer service and bad products I will not buy from them again', 'Do not approach the company of messy and liars!!\n\nI arranged a refrigerator technician for yesterday afternoon. After the coordination, they tried to change the visit to the morning hours, some of the attempts were even worthless and fraudulent - one of the representatives called to ""verify"" that we scheduled for the morning hours, and even argued with me. Until I proved in an SMS (which I received from them) that indeed the visit corresponds to rush hours, she did not let go.\n\nAt 0900 on the day of the visit, they called me and when I returned to them after about two hours, they said that the technician was on his way and would arrive at the time we had set. At the end of the hours, when the technician did not arrive, I contacted them again and here began a mask of lies that I did not believe I would hear-\nFirst representative - claimed that the technician was not enough to reach me.\nSecond representative - claimed that the technician was at the address and there was no answer.\nThe manager of the area, Amit - claimed that the technician did not come to work at all today because he was sick with a sick certificate (what is the relevance of the certificate?!?).\nWhen I presented to a colleague the difference in the versions of the technician\'s non-arrival from the various representatives, he changed his version in an instant and said that he himself was at the address and there was no answer. I should point out that I am a young, healthy person, and I hear very well both knocks on the door, the ringing of the bell, and the ringing of the phone.. There was no representative at the door, and I was not contacted!\n\nI rescheduled for today - they didn\'t arrive today either! Two days in a row! In a conversation with a service representative, Mittal, the phone hung up in my face! I was left with a faulty refrigerator that was bought less than a year ago!\n\nNeedless to say, but I\'ll say it anyway - my time is important! It is not possible to underestimate a client\'s time like this, even more so when there was continuous communication from my side.\n\nRegret buying from them, will not purchase any product from them in the future and suggest you all stay away', 'Simple service on the face!!!\nI coordinated an air conditioning technician after the air conditioner decided not to work\nThe technician arrived after a few days ""fixed"" left the house and the air conditioner once again did not turn on.\nI called them and since the technician did not close the call, they had no way to help me, they asked me to call back after an hour\nI called after an hour they refused to send me another technician and the technician who was there was not ready to come back.\nThe eighth month of pregnancy should not go through such turmoil. I brought in a private technician within two hours after the incident who replaced a damaged part that your same technician supposedly ""repaired"" and the air conditioner works fine.\nSave yourself the headache and bring a private technician who are simply not worth a minute of your time!  Especially since I waited several days without air conditioning at home!\nDisappointed in the levels.', 'Worst customer service I have ever received. Deceiving and justifying instead of giving normal service to the customer. Crazy lack of response on the phone\nAfter calling a million times, leaving messages on the website and by email, they got back to me after four days and gave shocking service!!!! horror'], 'business_name': 'אלקטרה חנויות נוחות'}"
11,חברת פרטנר תקשורת בע,"{'displayName': 'Partner', 'primaryType': 'cell_phone_store', 'biz_reviews': ['I visited this company in attempt to do business with them. It seemed like a great place to work for and everything looked nicely done and modern. Very similar to US companies', 'Pretty good service, nothing special. Nice building though.', 'Great environment, nicely, clean and peaceful', 'The worst company with outrageous eighties style scam artist sales tactics', 'Nice building. new fast repairs service'], 'business_name': 'חברת פרטנר תקשורת בע'}"
12,נון סטופ מרקט,"{'displayName': 'Non Stop Market', 'primaryType': 'grocery_store', 'biz_reviews': ['Be carefull. I order 2 bottles of pepsi here and when open they have aroma of toilet bleaching chemistry. May be not a best poison but how it can be in colla? Not sure may be this bottles stay long time at sun. But both smell so strong. Sorry dont have time to investigation how it us happened.', 'Very well organized and supplied.The vendors are polite and fast workers.The same goes for the cashiers.They have reasonable prices and monthly special sales. I really enjoy shopping there.', 'Always clean and friendly. Usually good fruits and veg. Expensive though.', 'Fair prices, nice diversity of products for a small local store, very friendly stuffe.', 'NICE LITTTLE MARKET AND ALSO THEY ARE A BRANCH  OF THE POST OFFICE.'], 'business_name': 'נון סטופ מרקט'}"
13,KLASSA( תכשיטי דניאל,"{'displayName': 'Daniel Matat diamond & Jewelry', 'primaryType': 'jewelry_store', 'biz_reviews': [""Excellent service, very friendly and helpful, big and beautiful selection and great prices.\nWe got our wedding bands and couldn't b happier"", ""The best place to buy diamonds in Israel. Proffesionals, quality and good prices. Don't forget you are in Israel and you can talk a lot about prices and that is nice"", 'We bought there wedding rings: I recommend to visit the store any day but Friday (very crowded), service it’s OK, I didn’t feel that the seller was very helpful beside bringing the plates with the rings. There’s a large variety of wedding rings and the prices are fair.', 'Fair and professional store. Very nice sales reps! Not pushy at all! Loved everything. Highly recommend.', 'Great service! Liza was amazing and great help, even though I had to make it for my friend who’s in a different country. She was very patient and helped us both while we were chatting over the phone. Great place to go, 10/10 recommended!'], 'business_name': 'KLASSA( תכשיטי דניאל'}"
14,סופר פארם אורדע רמת,"{'displayName': 'Super-Pharm', 'primaryType': 'drugstore', 'biz_reviews': [""What can I say about them you know what changes pretty much every place you go to is the same I love them they're everywhere and they're open late"", 'The pharmacy usually  has a long line,  but the service is great.', ""You know you're at a super pharm when you walk in, take a number, wait 10 minutes with the number on the screen never changing, and walk out."", 'very good, friendly service and no queues', ""Average pharmacy. Shopper's Drug Mart Chain.""], 'business_name': 'סופר פארם אורדע רמת'}"
15,סופר פארם בסר סיטי פ,"{'displayName': 'סופר- פארם בסר סיטי פתח תקוה', 'primaryType': 'drugstore', 'biz_reviews': ['I was at Dalys, excellent service, everything was fresh, clean and there were very profitable promotions.', ""Amazing I have no words\nMedicines they are asked to order\nWhat Maccabi doesn't put on me\nThey order within a few days with a smile and service unmatched anywhere\nall due respect"", 'A very nice branch but the cashier refused to provide service', 'Bad service\nCashiers are lazy to take payment\nNot recommended at all!!!!!', 'A new branch of Superpharm.  Excellent service'], 'business_name': 'סופר פארם בסר סיטי פ'}"
16,LOS GATOS    ~NETFLIX.COM,"{'displayName': 'MISSING', 'primaryType': 'MISSING', 'biz_reviews': [], 'business_name': 'LOS GATOS    ~NETFLIX.COM'}"
17,IHERB.COM    ~IHERB IHERB.COM,"{'displayName': 'טבע קליק', 'primaryType': 'store', 'biz_reviews': ['I do not recommend buying through them, there is no answer on the phone and the products do not arrive, in short there is no one to talk to, wasting money and needless nerves'], 'business_name': 'IHERB.COM    ~IHERB IHERB.COM'}"
18,אלנבי פוד,"{'displayName': 'Cafe Allenby 96', 'primaryType': 'restaurant', 'biz_reviews': ['Always fresh & tasty food. As I moved to Tel Aviv, eating here almost every day.', 'peace\nMy name is Uri, a 9th grader at Herzliya Grammar School. Last year, my friends and I went to Cafe Allenby 96. First, they served us gazpacho, which was wonderfully cool, and evening to the palate. It\'s a pity that the same cannot be said for the seller ""Ido"". Then we continued to the main course: ""Beef Wellington in apricot sauce""\nAshboni ""The dish was wonderful in summer and perfect for sharing. We had dessert with a ""chocolate and coffee"" mousse cake which was a sad dish and made me forget all the wonderful things that came before it.\nIn conclusion, the sellers are ugly, the dishes are mediocre. do not recommend\nSigned Uri Barry Zip code: 6753427', 'The food is always fresh and delicious\nThe hospitality and service exceeded all my expectations\nSmile and kindness\nThe prices are affordable', 'Excellent shawarma, warm attitude, fair prices, clean and tidy, highly recommended!!!!', 'Delicious food, pleasant atmosphere.'], 'business_name': 'אלנבי פוד'}"
19,מאפיית פארין,"{'displayName': 'מאפיית פארין', 'primaryType': 'bakery', 'biz_reviews': [""I arrived on Friday before Shabbat, I asked for an apple cake, the seller at first said he had run out, then suddenly he showed me a cake and said it was an apple cake.\nI asked him if he was sure it was an apple cake and he said yes and offered me to buy 2 at a special price.\nI got home and was disappointed, the cakes were with cheese.\nIt seems that the seller tried to get rid of the cakes before Shabbat, at the cost of misleading the customer.\nI must mention that the cheesecake was good, but it's not what I asked for."", 'Caution, sanitary hazard!\nThere are pigeons inside the branch that travel and fly over and near the pastries', 'Beautiful location, variety, quality and service! Good bakery for every day. More suitable in my opinion for takeaway at the moment, although there are also a few tables outside. If they invest a little more in this area, it will be more pleasant to sit in.', ""The bakeries in Givatayim probably don't like vegans to say the least. Vegans are not for you."", 'Clean place, looks good, nice and kind staff, service above and beyond!'], 'business_name': 'מאפיית פארין'}"
20,"הכל לתעשיה בע""מ-מימו","{'displayName': 'All industrial-technical equipment Ltd.', 'primaryType': 'hardware_store', 'biz_reviews': ['Very good hardware store. They have most everything I need. Really good prices and always service with a smile.', 'Super professional, friendly and the one properly stocked place in the entire area.', 'Great service and advice, they brought me some simple solutions to complicated problems', 'I needed a faucet part. I was in and out in five minutes, and half of that was because I had to pay with credit. An institution store that every neighborhood needs.', 'An old store. A large and partially lit space containing construction and renovation equipment for both contractors and the general public.    Most of the products are basic but the variety is wide. The lack of design gives an authentic feeling of a fair and affordable place. No parking. I only buy construction products there.'], 'business_name': 'הכל לתעשיה בע""מ-מימו'}"
21,בית לחם,"{'displayName': 'Bethlehem', 'primaryType': 'MISSING', 'biz_reviews': [], 'business_name': 'בית לחם'}"
22,הגרעין,"{'displayName': 'הגרעין', 'primaryType': 'store', 'biz_reviews': ['It have all gardening solutions for sure but it is expensive.\nAverage 10 shekels for simple plastic connectors.\nThe other equipment is expensive as well.\nThe staff is professional and will sort you out quickly though.', 'Everything you could ever need for your gardening needs, this old and respected establishment caters primarily to the needs of professional gardeners, but even if you are a green thumb novice, the staff will be happy (sometimes even too eager) to help you figure out what you need for your budding nursery. If you are looking for organic hydroponic consumables, this would one of your only options in Tel Aviv unless you are willing to venture out of the city.\nAlas, the pricing there is totally meh. Most of the equipment can obtained for much lower online or in other shops.', 'Everything you may need for your garden or balcony can be found in this small shop. The workers are very helpful and knowledgeable, they can help you choose your fertilizers, organic pesticides and the like.', ""Very helpful staff, I'm pretty sure you can find there ANYTHING for your garden there!"", 'expensive compares to a hardware store nearby. Service was kind of disappointing.'], 'business_name': 'הגרעין'}"
23,נטו סטוק,"{'displayName': 'Netto Stock', 'primaryType': 'home_goods_store', 'biz_reviews': ['Great store. Amazing deals and prices. Really good customer service. I enjoy buying there all the time.', 'The store is nice- same products are cheaper at Max Stock. The cashier was rude and disgusting. I will never go there again!', 'Nice store for kitchen and other home staff, mostly good prices', 'Expensive, have near Max 20\nattendance grudgingly.', 'Cheap'], 'business_name': 'נטו סטוק'}"
24,קומי (משרד כרטיסים),"{'displayName': 'Comedy Bar', 'primaryType': 'comedy_club', 'biz_reviews': ['Get ready for 3 hours of fun (Saturday evening, and only in Hebrew), with many funny people.', 'We had a great time in the comedy bar. There was enough room to sit and the comedians were pretty good (except for the only female comedian who was horrible). Beer cost 25₪ which I guess is an average rate in these kind of places.', 'Very nice place that brings a few comedians for short shows, starting with newbies and closing the evening with well known ones. Seats are around small tables, like a bar, with  a self service cafeteria for snacks and beverages (overpriced, of course) . I had a great time, laughed my guts out.', 'Cousy place. Comfort. All sits close to the stage. But the bar is to short on food. Only popcorn , pizza and soft drinks. Some small plate is must for this place.', 'The comedy was great!\nThe seating a bit too dense.'], 'business_name': 'קומי (משרד כרטיסים)'}"
25,דב זייף צבעים לבניין,"{'displayName': 'דב זייף - צבעים', 'primaryType': 'hardware_store', 'biz_reviews': ['The best shop ❤', 'The man is a professional!\nExcellent attitude, knows what he is doing, very good service\nColor matched me by eye.', 'Tomorrows are really expensive, there is no pricing for the products, they decide instead how much you pay a different price each time. In addition, I bought paint and when I opened it I discovered that it was half empty, I returned to the place and there was no response to the case', 'A neat and organized store, the cheapest prices in Israel, I checked on the internet.\nI want to praise the excellent service of the store manager named Shmulik who gives the best possible service with a smile and patience\nwith professionalism.\nI highly recommend coming and shopping at this store\nI only buy all the products in this store\nAaron', 'Professional, courteous.\nThe prices are not fixed and there is no pricing for the products'], 'business_name': 'דב זייף צבעים לבניין'}"
26,דליה פרחים,"{'displayName': 'דליה פרחים', 'primaryType': 'florist', 'biz_reviews': ['Amazing shop and especially the owner! Beautiful and fresh flowers and all bouquets are done with exquisite taste !!! Definitely recommend!!', 'A charming and reliable store, accompanying me for years (as long as it was in Ichilov) in happy days and unfortunately also sad ones,\nThis is an opportunity to say thank you', 'Professional service, amazing flowers and a team of strong women full of passion for flowers', 'The most beautiful store in Israel!! The bouquets are perfect, the flowers are fresh. The store owner and her employees are helpful and kind with a constant smile on their faces.\nEverything for the customer is always the most beautiful with the exact packaging and the perfect design, exact combination of flowers and colors!!!\nSuper fair prices.\nHighly recommend 🌸', 'Lovely store, rich and varied offer, super nice and professional salespeople and fair prices. I liked that in addition to the flowers/bouquets there is a large variety of plants in pots, which is a bit lacking in other shops around.'], 'business_name': 'דליה פרחים'}"
27,הכוסית-ורמוטריה מקומ,"{'displayName': 'הכוֹסית-ורמוטריה מקומית', 'primaryType': 'bar', 'biz_reviews': ['Found this place by chance and were really happy to be pleasantly surprised.\nWe tried several small dishes and all of them were absolutely amazing. Also, the drinks were made perfectly and the service was great and friendly. We arrived on a Friday afternoon and there were a lot of free tables on the sidewalk as well.', 'Good selection of Vermouth and tasty food', 'Extremely expensive for the portions size, but food tasted good', 'The service was fine\nBut it took a long time for the dishes to arrive at the table\nEven when they arrived then it was in a trickle and there was no correct and good synchronization.\nIf you come for a drink, it flows, but it is not suitable for everyone.\nThe food was delicious, fresh and good seafood\nWe drank natural white wine, it was delicious (not for everyone)', ""I have never written a bad review about a place but here it was already excessive.\nOur waitress also happened to be the AHMS of the place and we received very bad service from her, she treated us with disdain, spoke in a repulsive tone, made us feel like we were lying and moaned with us and didn't even apologize after all.\nWhen we asked to speak to the AHMShit I was shocked that she was also the AHMShit and I realized that the situation was really bad.\nHer service ruined our entire meal and evening.\nThe waitress (unfortunately I don't remember her name but she was really excellent) who handed us the bill at the end of the meal, tried to cheer us up and compensated us with chasers at the end but unfortunately it was already too late after the disgraceful service we received from the AHMShit.""], 'business_name': 'הכוסית-ורמוטריה מקומ'}"
28,בר קפה ירח,"{'displayName': 'בר-קפה | BarCafe', 'primaryType': 'coffee_shop', 'biz_reviews': [""Took an ice matcha and a feta salad. The salad was good and the matcha is definitely ceremonial grade. The ambiance is OK, and the service needs some work, as they didn't call me when the matcha was ready for pickup."", 'Excellent food and coffee. Great atmosphere and service. Recommended', 'Super dog friendly!', 'Neighbourhood café in the best sense of the word. Good location. Such a place was missing here.', 'Very nice place. Great coffee and pastries 😎'], 'business_name': 'בר קפה ירח'}"
29,המתמיד 10 רמת גן,"{'displayName': 'Ha-Matmid St 10', 'primaryType': 'MISSING', 'biz_reviews': [], 'business_name': 'המתמיד 10 רמת גן'}"
30,משתלת שתילים שחר בעמ,"{'displayName': 'משתלת שתילים', 'primaryType': 'farm', 'biz_reviews': ['Excellent Gardening Nursery . Helpful friendly staff and best prices in the locality . Fully recommended.', 'Great service, professional,  large variety of plants.\nLovely store.', 'Beautiful plants\nGreat place and good prices!!', ""Wow! What an amazing selection and merchandise! Great service from Nir and really the nursery with the most beautiful selection and quality I've seen. Highly recommend"", 'The service is excellent, all the staff are very explanatory and kind, the prices are fair. A very pleasant shopping experience'], 'business_name': 'משתלת שתילים שחר בעמ'}"
31,מחלבת מרקוביץ',"{'displayName': 'מחלבת מרקוביץ ארץ זבת חלב', 'primaryType': 'ranch', 'biz_reviews': ['We visited the dairy twice in a row, once to buy some sheep cheese (the only type made), and then to attend a Tasting Experience (""חוויטעימה"") on a Friday morning. The personnel was courteous and pleasant. The Tasting, conducted by the owner, was well organized and informative. The cheeses are unique creations with Hebrew names, all very tasty. Missing is a brief description of each. The yoghurt and ricotta are very special, to our taste. Recommended.\nUpdate:\nRecently, the dairy has begun to offer a take-away picnic package, available Sunday thru Thursday when ordered a day in advance. The package contains several cheeses, mini veggies, olives and a fresh baguette. We opted to have it sitting on the large roofed deck. There is a free  self-service coffee/tea counter.\nWe liked the package, enjoyed the food,  missed only some butter.\nService was quick and friendly.\nLastly: There is a lot of parking space.', 'Such a lovely hospitality and welcoming people. Was very informative, tasty and funny. Great experience and you can tell these people love their work. There is a shop next to it you can get your own cheese and more.\nGood people!!', 'Great place to buy a local hand made cheese and also great place to spend a few hours with kids. Look for their weekend cheese festivals .', 'Very nice place. Good sheeo cheese and other things related', 'Perfect place to taste new goat cheese and have a coffee with viewing the goats. Very pleasant host. It worth visit only because of him. Thanks for good experience, good to see man that enjoy what he is doing.'], 'business_name': ""מחלבת מרקוביץ'""}"
32,פרימדונה,"{'displayName': 'פרימדונה-סופר טרי וזול', 'primaryType': 'supermarket', 'biz_reviews': ['The butcher here tried to scam us.\n\nI gave a family member a list of stuff to buy.\nThe butcher tried to give us the wrong things and basically the priciest things he could find. When it felt off because of the absurd price, he said to trust him and he knows exactly the things that are on the list.\n\nHe tried to give us a prime steak that costs 3 times what I was actually looking for.\n\nIn addition he sold us bone marrow instead of another thing we where looking for. That costs us 6 times more than the actual product!\n\nThis is the most disgusting thing I have ever encountered in a supermarket, and I genuinely hope he will be fired for his behavior.', 'Good place', 'Regular shop but with best fruits in the area', 'Best supermarket around. Excellent fruits and vegetables. Good prices.', 'Super market good for quality vegetables and daily products'], 'business_name': 'פרימדונה'}"
33,סופרגז רמת גן גבעתיי,"{'displayName': 'סופרגז', 'primaryType': 'MISSING', 'biz_reviews': [""Appalling service, disgusting attitude and lack of professionalism.\nDo not approach them, outdated, fraudulent and neighborhood staff. They bring half-full balloons and claim that the problem is the customer's use.\nIt is better to make a fire at home and cook on wood than to order gas from this bad company. stay away!"", ""One of the most appalling services I've ever encountered!!\nYou managed to pass even Hot by providing the worst service there is.\nPeople pay you money and you do your job in the worst possible way. It's impossible to get hold of you in customer service - at best they answer after 40 minutes, the attitude and way of speaking of the operators from Z-E-Z-E, you can really think that your service is not paid and that you do everything voluntarily.\n\nIt's a shame that I'm a captive customer, otherwise I would never have contacted you. Only in a rotten country like Israel does a business like yours still have the right to exist.\njoke"", 'I would like to thank Supergas Ramat Gan on behalf of Beit Shaar Yishuv 3 Committee for quickly responding to our request to receive a key to the location of the tanks so that we can take care of cleaning the place. The very day after I wrote the request, a Supergas technician brought me the key. I was really surprised by the speed of the response and the good spirit with which it was done.', ""disgrace\nWe have been waiting for a gas cylinder for 3 months!!\nThey contact us every week and we even canceled the order and placed a new one in the hope that it might help, but every time they tell us to call the day after because the dispenser is not available, they call the day after and of course again, the dispenser is not available!\nDon't fall into their trap!!!!"", ""Worst customer service I have ever encountered.\nFrom the first moment they just don't want to help,\nOnly do the minimum possible and in the end they also cut you off in the face.\nJust a disgrace to a company, ugh""], 'business_name': 'סופרגז רמת גן גבעתיי'}"
34,חברת חשמל לישראל,"{'displayName': 'Israel Electric Company - Dan district', 'primaryType': 'MISSING', 'biz_reviews': [""Hi everybody. I've been trying to find a telephone number of the company. I am living abroad. Can someone help ?"", 'Tried calling a number of times, every time after a half hour they hang up, i tried the call back service and the guy hung up as soon as calling me back. Terrible customer service even by Israeli standards', 'Nice', 'Impossible to navigate', 'Average service'], 'business_name': 'חברת חשמל לישראל'}"
