business_name,displayName,primaryType,review_1,review_2,review_3,review_4,review_5
HATUKA BARBRSHOP,Hatuka Barbershop,barber_shop,"⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐

I recently visited Hatuka Barbershop and I must say, it was an exceptional experience from start to finish! The atmosphere is incredibly welcoming, with a modern yet cozy vibe that makes you feel right at home. The staff is not only professional but also genuinely friendly, making each visit feel personal and valued.

My haircut was nothing short of perfect—Lihod took the time to listen to exactly what I wanted and executed it flawlessly. Their attention to detail and precision is unmatched, and I walked out with a look that exceeded my expectations.

The cleanliness and organization of the barbershop were also top-notch, which only added to the overall positive experience.

If you’re looking for a place that combines expert craftsmanship with outstanding customer service, Hatika Barbershop is the place to go. I’ll definitely be returning and highly recommend it to anyone in need of a fantastic haircut. Five stars all the way!","Great experience! Skilled barbers, friendly atmosphere, and top-notch service. Highly recommend!","Very professional, efficient and gives a great cut!",Great guy. Amazing barber!,"Best haircut in Tel Aviv, the guy is a professional, every time I look like a movie star, highly recommend, book always in advance"
IHERB.COM    ~IHERB IHERB.COM,טבע קליק,store,"I do not recommend buying through them, there is no answer on the phone and the products do not arrive, in short there is no one to talk to, wasting money and needless nerves",MISSING,MISSING,MISSING,MISSING
KALAMATA,Kalamata,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
KLASSA( תכשיטי דניאל,Daniel Matat diamond & Jewelry,jewelry_store,"Excellent service, very friendly and helpful, big and beautiful selection and great prices.
We got our wedding bands and couldn't b happier","The best place to buy diamonds in Israel. Proffesionals, quality and good prices. Don't forget you are in Israel and you can talk a lot about prices and that is nice","We bought there wedding rings: I recommend to visit the store any day but Friday (very crowded), service it’s OK, I didn’t feel that the seller was very helpful beside bringing the plates with the rings. There’s a large variety of wedding rings and the prices are fair.",Fair and professional store. Very nice sales reps! Not pushy at all! Loved everything. Highly recommend.,"Great service! Liza was amazing and great help, even though I had to make it for my friend who’s in a different country. She was very patient and helped us both while we were chatting over the phone. Great place to go, 10/10 recommended!"
LONDON       ~DISNEY PLUS,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
LOS GATOS    ~NETFLIX.COM,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
LUXEMBOURG   ~ALIEXPRESS,Bastelkiste,store,"Amazing ""little"" gem in Luxembourg. I think this is the largest selection in the country. High quality fabrics, and a wide selection of things to make something beautiful! Very nice crew, knowledgeable and friendly. I ended up not buying something, but will in the future definitely come back to see what I can buy here for future project. I will definitely recommend this store (and already did)","Such a gem! The sheer variety of crafting supplies is impressive, and the staff couldn't be more helpful and friendly. It's clear that they're passionate about what they do and genuinely want to assist customers in bringing their creative visions to life. Whether you're a seasoned crafter or just starting out, there's something for everyone here. The atmosphere is so welcoming and inspiring I always leave feeling excited to dive into my next project. Bastelkiste Luxembourg is truly a haven for DIY enthusiasts!","This place is the best for every kind of need related to stationery, handicrafts, arts, painting, knitting, do-it-yourself stuff, pottery, stitching, decoration etc. etc. etc.!!! It is a huge place with a massive variety of stuff to do everything possible in arts and crafts! The people are happy to help and the costs are also reasonable.","I found my peice of heaven, A wonderful day
spent at @bastelkiste.luxembourg is truly a
hobbyists paradise, no matter what type of
craft you do, you will have something that will catch your fancy here.
Whether you are a into Quilting, sewing,
dress making, crochet jewelry maker, paper
crafter,mixed media artist, fine artist, scrapbooker,DIY, decoupage party planner, baker etc you will find supplies here.","The best shop in Luxembourg if you want to find amazing yarn! (and of course everything else you need for crafts)
Very helpful staff, great choice and fair prices compared to other stores.
They have every yarn you could imagine (f.ex. chunky, mohair, silk, and even mini versions for amigurumi).
This is THE shop to visit if you need yarn, I highly recommend it. 😊"
PAYBOX,PayBox - פייבוקס,corporate_office,They took all of my credit card and bank Details and then Blocked my account. I couldn't delete the account and couldn't reach the support for a few days.,UNSECURE APP!! If you love your money STAY AWAY.,"I haven't been able to pay with Tap in any store for several days now! There is everything else in order, the device is new and in order. And you have no answers! The worst technical service, there is no solution and there is no prospect of a solution. My problem is the answers I get. It hurts me financially!! And if necessary, I will also refer this to a lawyer who deals with the issue. I'm not ready to accept answers of no prospect of a solution, I'm not interested!!!","I have an amount of NIS 2100 in the application that they simply disappeared from me, it cannot be withdrawn and the company does not answer or call back. Inquiries I sent by email and messenger are closed and they are ignored. I'm turning to Guy Lerer and anyone who wants to join her as a representative is welcome. Under no circumstances work with them!!!! They have crazy and unacceptable behavior!!!","Payments I made to the group to collect money for the end of the year disappeared even though the money was deducted from the balance and the credit card.
This isn't the first group I've paid for but it's the first time I've noticed.
They caused me great embarrassment and financial loss.
The customer service does not handle the problem for over two weeks even though I sent them all the details and screenshots.
I suggest not to trust them with your money."
"PM:AM ארלוזורוב ר""ג",AM PM,grocery_store,"The only AM OM store that I won't recommend to buy something at night!
I bought bamba, burekas and a coca cola...than suddenly my bill was 80NIS... I've already paid... Than I talked to the cashier...and he said there's a TAKALA with the system 👀..

I look at the bill and there was Arak/alcohol...and for sure I didn't purchase Arak..
He tried to refound my CC but with no success, than gave me difference in money...
It's was a real not cool way to try to take a client for a fool...

So AM PM Arlozorov... I'll never be back... - client...","It's OK.
Vegetables are only mediocre.
The staff is pretty nice though :)","A bit pricey but convenient location, good selection of products, nice service and aesthetics",Why the new and big am pm has less products than and old smaller one?,"Store and seevice are ok
Parking is tarrible"
STOCKHOLM    ~SPOTIFYIL,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
SWING,SWING Bar,bar,"Overall, a bar of average quality and appearance, with a neat style and friendly staff. The main emphasis is on alcohol and cocktails, but there is also something to eat here too. There is not much really ""dense food"" here, but you can find meat salad, Caesar salad and a couple of other such dishes. The variety of general alcohol is good, but it's average ""safe mainstream"". Cocktails are another matter and they are good here. My wife and I have tried 4 different ones and all are well done and tasty(Sidecar, Sleeping Lotus, Staycation, Teqi la banana).
Prices are normal, the bar website has a menu with them.
Since the bar is right in the center it's a good option to sit in the evening, have a cocktail and move on further.",Nice new local place. Good choice of cocktails and delicious food. Stuff is friendly. May recommend.,"Great cooktails!
If you like spicy ones, try ""spice it up""
I came back just to order it again 🤩","We ordered beef buns, but they were out of stock so we got a smash burger and fries. They took 25 minutes to prepare our meals, even though it was a week night and the venue was at around 30% occupancy.

For some reason it seems that 80% of the venue is a smoking area. There were people smoking inside! If I had more free time, I'd report them to the city for that. Almost every table has an ashtray on it. We had to move to a different seating area to avoid the cigarette smoke.

The french fries were too thin to my liking. You couldn't really taste the potato, it just tasted like oil. The burger was okay, not great.

The waiter tried to recruit us to a political cause that he believes in. While I don't disagree with his cause, I didn't really feel it was his place to push his political beliefs.

We won't be coming back.","Great place for working over beer/coffee and some snack.
Nice atmosphere and the waiters are very kind!"
TOM'S,תומס קפה - שינקין | Tom’s Coffee - Shenkin,coffee_shop,"We love Tom’s! Both locations are lovely, really nice staff, great coffee and chill vibes :)",The best coffee in the area),Nice place and good coffee,"The coffee I start the morning with.
Your amazing atmosphere, service and coffee makes my day.
I tried the onion and cheese pastry today and it was excellent!
It's fun that you opened right next to the house","Amazing place with great coffee and great service! 😌💛
Came there almost every day to enjoy quality and delicious coffee.
In addition, I must mention that it is really convenient to work from there!"
TOMMY ANNIKA,Tommy & Annika,store,"Wonderful toys, if somewhat pricy
Check out their store at the Natural History Museum!",Magical,Best toy shop in Israel!,Great service and lots of toys,"Expensive, but high quality toys"
TOP STOCK,TOP STOCK טופ סטוק,home_goods_store,"Shopping experience, excellent attitude and really attractive prices, huge variety",MISSING_REVIEW,MISSING_REVIEW,MISSING_REVIEW,MISSING_REVIEW
WOLT,Wolt,restaurant,"Volt are scammers. They introduced heavy orders. They write that if you take everything, you will get more. But they are lying. I just took the entire order of 6 packages. But the amount did not increase. I am not even mentioning that they have reduced the cost of orders 3 times this year. Volt is a dump!","Horrible horrible service!
Don’t order with them.
After 3 hours of waiting still no solution. A group of amateurs working there.",Terrible horrendous customer service. Gilad should be fired,"I ordered a delivery and waited for over an hour, if not an hour and a half, the courier made a round of the entire center several times near my address but decided to pick up other orders and distribute them at the expense of my time, in customer service there is no answer that is at least somewhat satisfying or comforting from the representative, they say there is nothing to be done The courier's decision of what to do, really got on my nerves and I am their regular orderer and recently encountered a significant drop in shipping, they don't update that they left a shipment at the door, just guess for yourself, simple shocking","Stinky service. I ordered and an hour later the dispatch calls me an hour later about the address and then I learned that the application automatically transferred my old address (this is my mistake) and I gave her the new address which was 2 minutes from the address
slept and then she said ok and hung up. 30 minutes later I called the delivery service and it turns out that she was actually on her way home with my packed food, she won't call to say that customer service isn't answering her and coordinate with me where to leave my food but will just leave without updating and without anything because why not? Free food 🤬🤬🤬
In short, this is the stinking experience I had with these poor Volts. My recommendation, do not order from them!!!!"
YANGO DELI,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
eatmeat,EatMeat,sandwich_shop,"The sandwich was really good and the price is ok (not cheap, not expensive). The only thing that the place can do to improve is to change the lighting at night. It is too bright and right on the benches outside. A softer light (like garland - ""grilanda, or ferry lights"") would make the place much nicer 😉","If you love meat, you should try this place. Very fresh and juicy sandwich. If you like a hint of spice, you should add chimmichuri sauce. On my second visit, I asked them to add a fried egg to my sandwich. I just saw someone else had it, so I wanted to try it. You can eat there or take it to go.","Hands down the best sandwich in Tel Aviv! Comes to ₪64 with a drink. The bread is perfect, holds up to the sauces, veggies, and meat. The meat if perfectly flavored and each bite leaves you feel like they found the perfect flavor matrimony","Most underrated meat sandwich in Israel. Literally heaven on earth and look forward to eating every time I’m in Israel.
Not your traditional sandwich in the Middle East. Not pita bread or shawarma. Instead, grilled sliced meat (similar to cheese steak meat) with amazing sauce and veggies on a warm large bun. Can’t place the type of bread but it’s amazing. Large sandwich too. Big enough to share but you won’t want to! Outdoor seating, but they have heat lamps.","Amazing, awesome, super, wonderful street food in Tel Aviv - definitely one of the best in the city!"
א.מ חומוס רמת גן,חומוס האחים רמת גן,restaurant,Feels industrial. Better alternatives around.,"Not the best hummus ever, but OK for local place. For me it was not spicy enough...","Best hummus ever. Great variety: classic, triple, musabaha, falafel, salad. Very fresh, portions are generous, good service. Can't be any better.",Overall it's a nice hummus with various topping options. You can only sit outside though,The hummus is good but the line is always too long.
אבא ובן,"אבא ובן - חשמל, אינסטלציה ומוצרי צריכה לבית ולגן",electronics_store,I bought light bulbs in the store and the seller charged me NIS 45 for three light bulbs. I checked after the purchase and it became clear to me that the price of the same package is only NIS 19. feeling cheated.,"Very expensive and he pushes you to buy expensive things that you don't need at all. A clearly unhelpful man
I won't be back again.","Highly recommend. I came to the store to buy an odor blocker for the shower, the owner guided me exactly what to do and also replaced a component for me for free.",Relatively expensive but excellent service. Be kind and nice,"A shop for tools and household items.
Nice and professional seller, who overall gives a good feeling.
The store itself is a bit messy and it's not always easy to find things.
Sometimes the seller gives a not the most pleasant feeling, but not something that can be defined exactly.
The prices are not really cheap, but not very expensive.
Overall, the experience is good, but there is still room for improvement."
אטליז גבעתיים,אטליז ודגי גבעתיים - דגים טריים | בשר טרי | קצבייה,food_store,Buying fish and meat here for 5 years - always fresh and great quality!,"Ordered ground meat, it was tasteless and hard. Not a very good quality. I get better ground meat at Shufersal.. I won't say anything about prices or the rest of the meats.",The service is bad. the cuts of meat usually have ragged edges and uneven sections. Very pricey considering the low value.,"One of the best places to get meat.
Great service and product quality 👌","the finest butchery in ramat gan, with all the special cuts you can think of. Not cheap."
אטליז פרימדונה,פרימדונה-סופר טרי וזול,supermarket,MISSING,MISSING,MISSING,MISSING,MISSING
אי אם פי אם סניף החש,AM:PM,grocery_store,MISSING,MISSING,MISSING,MISSING,MISSING
אי.אם.פי.אם גבעתיים,AM:PM,grocery_store,"It's a great store... But unlike its name suggests, it is only open until 10pm and not 24/7...","Philip at checkout was so helpful. He packed my bags for me!! That was certainly a first in an AMPM. He was friendly,  chatty, and gave service with a smile. Being new to the neighbourhood and this my local AMPM, u really got a great sense of community.  What a guy! AMPM needs more staff like him! 👍","Outrageous, over 10 people in line a casher turns his back on us leaving another cashier along. Moreover, either cashier is reluctant to disclose each other’s name, yet, the one who is left keeps defending another- what t..f.",If you are short of anything in your kitchen and it's shabbat. You can get whatever you want at Am:Pm. It's open on Fridays and Saturdays too. # Never stop the fun!!,Nice and clean convince store. You can find there almost everything you need at any hour of the week. The prices are about 20% higher than the supermarket.
אייס קפה,Mae,coffee_shop,"I’m writing this review because I care. Something has definitely changed with this place. I ordered a hot coffee but I got it warm. The tasty of the coffee was also very average. Have you changed the beans?

I hope the manager of this place will find a reason and keep the place as good as it used to be. With love","One of the best coffee shops in Tel Aviv!!!
Great service, sometimes it could take some time to get your coffee, but all in all, quite ok.
They have a wide selection of coffee (numerous grinders are lined up like soldiers) and the cold brew is made locally and tastes amazing!
The muffins were also a big hit, while the pastries were quite average.
It’s a solid 4.5, but I gave it 5 because of the overall experience (and the assorted mugs).","They definitely improved over the years! Today I asked for more chocolate-flavored beans in my macchiato, and the coffee was quick and great. Maybe it's related to the flavor profile each person likes.","I rarely give 5 stars in my reviews, but every of them honestly: My wife and I liked the desserts and her hot chocolate, but it is normal in all normal cafes, which I give 4 stars... 5 I always keep for something special, not to devalue ""the maximum"" by giving all normal places this 5 stars... And this café, for my taste, deserves 5 because it was the only place in Israel that I visited, where I drank coffee without sugar and I really liked it. I found here exactly the coffee that I could say ""I'll take as usual"". I searched for a long time such coffee, after a vacation in Germany, where I first in my life tasted delicious coffee without sugar and it was not bitter-not sweet.","Great coffee, not much more to say. Just great. The taste of the espresso is not special or sour like other speciality coffees often make, so if you want the classic and perfect, choose this place.
Plus the atmosphere is great and good for working."
אייס/ אוטודיפו- אונל,ACE,home_improvement_store,"Let's start with the real big plus - big parking lot at the entrance for customers only. Makes it much more convenient when planning to purchase big/heavy items that ACE offers... with no time pressure - so you can stroll the store at ease.
Service is a mix. Staff range from very helpful to semi... I overheard a staff member giving great advice to a customer at closet section and another being rather sloppy with guidance and explanation to and older client regarding an emergency light with USB charging option.

I came to pickup online purchase and it went rather smooth... register at front and they send you to the back to pick up. Since it isn't a huge huge store, that was ok. Hence, it isn't one of those HUGE stores that you spend lots of time just to stroll and cover most if the grounds.

There is a decent range of stuff there and sections: closets, garden, painting, home appliances, electricity sockets wires etc etc.... none of these is very large or offer a huge verity - but overall OK and you would find most of what you need for home. If you are looking for departments that has lots and lots of products and options, probebly better to go to a dedicated store (hardware espcially).

Prices are good for some and for other products - less. Id check online for prices of the ACE chain - and if they have what you look for and its just to order and pick up or go and purchase, ACE cinerama is a good spot for this. Showing photos of prices for pillows, which I somewhat was bit surprised to find in ACE...",Good located store. Enough parking spaces available. U find nearly everything concerning gardening and housing here,Nice selection. Clean and bright. Friendly staff.,"They have many small items one may need, which is convenient.
Service - it either took up to 10 minutes looking for an employee to ask a question or waiting while he was busy. Or quite the opposite. Employee came up to me to ask if I needed anything, twice in 3 minutes, when I was actually looking for some data in my mobile. At a cash, although I said explicitly I did not want anything, the cashier still reviewed each one of promoted products. Personally, I will prefer a different place next time.","What can I say? It’s a hardware store. It’s very organized and clean - two of the most important aspects of retail imho. The prices are reasonable. I got a small room heater and a toilet seat (see pic after I installed it myself). Ace has a wide selection and price ranges in both items. The service is good when you get it. Lots of free parking. This branch has an auto depot and an electronic appliances store attached. Selection, cleanliness, reasonable prices - good."
אינטימה אתר-גמא,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
אלו מציאות,The Realities Of Coffee,coffee_shop,Nice little coffee stop. They serve nice coffee and abundance of different sandwiches and a small variety of pastries. They have a few feeding tables in the shade right next to the patella the market and is a cute little spot,"Good coffee and pastries, original sandwiches (half boiled egg, eggplant, and spicy ""schoog""!) and a friendly service, in this newish café in Betzalel market. Loved the vibe!","Good coffee and great selections of yummy sandwiches, which the owners (who are chefs)  made, alongside good pastries. reasonably priced. Workers and owners are very nice. Good shades and winds for the hot Tel Avivian summer","Great coffee and special sandwiches
One level above other coffee places in Tel-Aviv",Good service! great food and coffee!
אלמה מרקט רמת גן,אלמה מרקט,grocery_store,Expired products. This is not the first time. They had chocolate on sale for 16.90. They sold it to me for 10 apiece and refused to give me a refund.,They cheated me with an excess of 10 shekels and refused to return it,Mini market in the stock market area,MISSING,MISSING
אלנבי פוד,Cafe Allenby 96,restaurant,"Always fresh & tasty food. As I moved to Tel Aviv, eating here almost every day.","peace
My name is Uri, a 9th grader at Herzliya Grammar School. Last year, my friends and I went to Cafe Allenby 96. First, they served us gazpacho, which was wonderfully cool, and evening to the palate. It's a pity that the same cannot be said for the seller ""Ido"". Then we continued to the main course: ""Beef Wellington in apricot sauce""
Ashboni ""The dish was wonderful in summer and perfect for sharing. We had dessert with a ""chocolate and coffee"" mousse cake which was a sad dish and made me forget all the wonderful things that came before it.
In conclusion, the sellers are ugly, the dishes are mediocre. do not recommend
Signed Uri Barry Zip code: 6753427","The food is always fresh and delicious
The hospitality and service exceeded all my expectations
Smile and kindness
The prices are affordable","Excellent shawarma, warm attitude, fair prices, clean and tidy, highly recommended!!!!","Delicious food, pleasant atmosphere."
